size,dsetmatrix,cudaMemcpy,chunktime,chunk_nosync,chunktimestream,chunkstreams_ nosync,chunkno,chunksize,streams,totchunks,Single Stream Chunking nosync,Stream Chunking,Stream Chunking nosync,Stream Chunk size
320,0.14599600000000001,0.143066,0.145264,0.14013699999999998,0.167969,0.151855,1,204800,4,4,0.9795269316259627,1.1740665147554277,1.061433184683992,204800.0
320,0.14624,0.13989300000000002,0.14502,0.13989300000000002,0.175049,0.151123,1,204800,4,4,1.0,1.2513063555717583,1.0802756392385608,204800.0
320,0.148926,0.14111300000000002,0.14502,0.14013699999999998,0.166992,0.153076,1,204800,4,4,0.9930835571492348,1.1833920333349868,1.084776030557071,204800.0
320,0.153076,0.13989300000000002,0.144775,0.30004899999999995,0.168213,0.1521,1,204800,4,4,2.1448464183340117,1.2024404366194161,1.0872595483691105,204800.0
320,0.160889,0.14111300000000002,0.14599600000000001,0.140869,0.167725,0.15087899999999999,1,204800,4,4,0.9982708892873086,1.1885864519923748,1.0692069476235355,204800.0
384,0.20385699999999998,0.196777,0.203125,0.197021,0.22900399999999999,0.20776399999999998,1,294912,4,4,1.0012399823150062,1.163774221580774,1.05583477743842,294912.0
384,0.21215799999999999,0.197998,0.201904,0.198242,0.241943,0.209961,1,294912,4,4,1.0012323356801585,1.221946686330165,1.0604198022202245,294912.0
384,0.211914,0.198242,0.202881,0.197021,0.230713,0.208984,1,294912,4,4,0.9938408611696815,1.1637947559043997,1.054186297555513,294912.0
384,0.22607399999999997,0.20385699999999998,0.201904,0.197998,0.23584000000000002,0.21020500000000003,1,294912,4,4,0.971259265073066,1.1568893881495363,1.0311394752203753,294912.0
384,0.21093800000000001,0.19775399999999999,0.201904,0.197266,0.235107,0.21093800000000001,1,294912,4,4,0.9975322875896316,1.188886191935435,1.0666686893817572,294912.0
448,0.27416999999999997,0.264893,0.27124000000000004,0.264648,0.307861,0.27807600000000005,1,401408,4,4,0.9990750982472169,1.162208891892198,1.0497672645181264,401408.0
448,0.27416999999999997,0.266113,0.270996,0.265869,0.301025,0.27807600000000005,1,401408,4,4,0.9990830962786487,1.131192388195992,1.0449545869611783,401408.0
448,0.272949,0.26416,0.27002,0.263916,0.300781,0.27807600000000005,1,401408,4,4,0.999076317383404,1.1386318897637795,1.0526801938219263,401408.0
448,0.272949,0.264893,0.27002,0.263916,0.29980500000000004,0.2771,1,401408,4,4,0.9963117183164523,1.1317966122170087,1.0460827579437737,401408.0
448,0.275879,0.265869,0.272217,0.264893,0.280029,0.275879,1,401408,4,4,0.9963290191786179,1.0532593119167708,1.0376501209242144,401408.0
512,0.359863,0.350098,0.369141,0.35498,0.38208000000000003,0.356689,1,524288,4,4,1.0139446669218333,1.0913515644191056,1.0188261572473991,524288.0
512,0.375,0.372803,0.368164,0.353027,0.39819299999999996,0.357178,1,524288,4,4,0.9469532165781928,1.0681056751152753,0.9580877836283507,524288.0
512,0.363037,0.35083000000000003,0.37011700000000003,0.350098,0.371094,0.355957,1,524288,4,4,0.997913519368355,1.0577601687426958,1.0146139155716443,524288.0
512,0.368896,0.35083000000000003,0.355225,0.343262,0.37988299999999997,0.357178,1,524288,4,4,0.9784282986061624,1.082812188239318,1.0180942336744292,524288.0
512,0.36791999999999997,0.352051,0.355957,0.349854,0.378662,0.35693400000000003,1,524288,4,4,0.993759426901216,1.0755884800781705,1.0138701494953857,524288.0
576,0.46801800000000005,0.447021,0.447021,0.43896499999999994,0.467041,0.444824,1,663552,4,4,0.9819784752841587,1.0447853680252157,0.9950852420803497,663552.0
576,0.47216800000000003,0.43994099999999997,0.462158,0.44604499999999997,0.467041,0.448975,1,663552,4,4,1.0138745877288091,1.0615991689794768,1.0205345716812029,663552.0
576,0.47216800000000003,0.43994099999999997,0.453125,0.438721,0.467041,0.457031,1,663552,4,4,0.9972269008798909,1.0615991689794768,1.0388461180021868,663552.0
576,0.46533199999999997,0.43994099999999997,0.453125,0.437988,0.46801800000000005,0.448975,1,663552,4,4,0.9955607683757595,1.06381992130763,1.0205345716812029,663552.0
576,0.470703,0.43994099999999997,0.47021499999999994,0.451904,0.463135,0.444092,1,663552,4,4,1.0271922826015307,1.052720705730996,1.0094353561045686,663552.0
640,0.571045,0.53833,0.559326,0.544189,0.570068,0.544922,1,819200,4,4,1.010883658722345,1.058956402206825,1.0122452770605392,819200.0
640,0.573975,0.539795,0.560059,0.544189,0.5681149999999999,0.551025,1,819200,4,4,1.008140127270538,1.052464361470558,1.0208041941848294,819200.0
640,0.573975,0.540039,0.560059,0.544922,0.563721,0.543945,1,819200,4,4,1.009041939563624,1.0438523884386128,1.0072328109636526,819200.0
640,0.552002,0.539062,0.548096,0.539062,0.5688479999999999,0.551025,1,819200,4,4,1.0,1.0552552396570336,1.0221922524681761,819200.0
640,0.5742189999999999,0.538086,0.559814,0.550049,0.5671390000000001,0.545166,1,819200,4,4,1.0222325055846093,1.0539932278483368,1.013157748017975,819200.0
704,0.664795,0.6450199999999999,0.656982,0.661133,0.674072,0.653076,1,991232,4,4,1.0249806207559455,1.0450404638615858,1.0124895352082106,991232.0
